"followed_by_viewer";"full_name";"id";"is_verified";"profile_pic_url";"requested_by_viewer";"username"
"false";"ゆうた";"59251132402";"false";"https://instagram.fskg1-1.fna.fbcdn.net/v/t51.2885-19/455961738_1599566364249981_5423966069136791740_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fskg1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=j1NiQjiiA8YQ7kNvgFotDKC&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AYA6Owx7ePweReYArxPR6VNUJsUwN6u00YzOimnH4TVkRg&oe=66D602D8&_nc_sid=17ea04";"false";"yuuta8880"
"true";"masahiro taka";"4144443843";"false";"https://instagram.fskg1-2.fna.fbcdn.net/v/t51.2885-19/428654483_1450340078900905_3430650992487695587_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fskg1-2.fna.fbcdn.net&_nc_cat=101&_nc_ohc=CRBiovGqnEcQ7kNvgHGSN07&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AYAFOxrZxkzPPnwRgMsqiMPVfHr-kfuZyXb5mcLYWLXpxQ&oe=66D5CC7B&_nc_sid=17ea04";"false";"taka0229.krt"
"true";"Ginplus";"5460454371";"false";"https://instagram.fskg1-2.fna.fbcdn.net/v/t51.2885-19/449341143_487170407124257_5194834055486545359_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fskg1-2.fna.fbcdn.net&_nc_cat=105&_nc_ohc=APtSaFluU8MQ7kNvgG7Am6P&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AYDpzCdVPp9i8gxVzM3V04Ma980p5NtjV8Sk9LuyIpe9lQ&oe=66D5EB70&_nc_sid=17ea04";"false";"ginzouplus"
"true";"Ghost Gsxr";"7219946214";"false";"https://instagram.fskg1-1.fna.fbcdn.net/v/t51.2885-19/454096628_510593397993566_7881864038595861350_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fskg1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=f9FpKvnNJqgQ7kNvgHdeAJb&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AYCxdcYGBpPqcOml-TWXwR3fBh02XvFemQ0Fl07T1zz2Yw&oe=66D5DA93&_nc_sid=17ea04";"false";"ghostgixxer_"
"true";"NINJA";"66563841425";"false";"https://instagram.fskg1-1.fna.fbcdn.net/v/t51.2885-19/442460095_1526205778251646_2378067409877251392_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fskg1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=wKU-ejYZQ6oQ7kNvgEGiljr&_nc_gid=bd5dd4c59dca474792ef47f1d382d48c&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AYAlg0X7_nlLhNhtGeipvTOFlnUI0sUwmnFkSMzQZ-Zawg&oe=66D6029C&_nc_sid=17ea04";"false";"nin_ja14japan"
"true";"吉村 亘";"9401123849";"false";"https://instagram.fskg1-2.fna.fbcdn.net/v/t51.2885-19/455231265_3267202620081325_4675535851711732777_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fskg1-2.fna.fbcdn.net&_nc_cat=101&_nc_ohc=Aenth-Jgoz4Q7kNvgGkvZVL&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AYDEewPz9K_wFFytw04Kti-FErRnKUdqiWL-C_5qCp8Zgw&oe=66D5F992&_nc_sid=17ea04";"false";"zzr1400.trh200"
"true";"Clean-N-Lean Lifestyle Whips";"60501504987";"false";"https://instagram.fskg1-2.fna.fbcdn.net/v/t51.2885-19/354927830_140927072338549_716458822748665624_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fskg1-2.fna.fbcdn.net&_nc_cat=101&_nc_ohc=-rnx-cATmhQQ7kNvgHhNOJL&_nc_gid=bd5dd4c59dca474792ef47f1d382d48c&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AYB9KSjsAfkAFMDAe9qoTHXTSxrC7z4fJWAmY11p3l4XFA&oe=66D5CFD6&_nc_sid=17ea04";"false";"cleannleanwhips"
"true";"skogkattn";"220275997";"false";"https://instagram.fskg1-2.fna.fbcdn.net/v/t51.2885-19/57487944_298762351014090_1606152343743627264_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fskg1-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=EbIydkm4yBkQ7kNvgF0voaH&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AYAXgCNqduwibS6Qb3Efpbj9HSAK6d6O9Ycjat_1B5U5Ew&oe=66D5D85F&_nc_sid=17ea04";"false";"skogkattn"
"false";"みお";"67146712741";"false";"https://instagram.fskg1-1.fna.fbcdn.net/v/t51.2885-19/448846478_1132842791163208_1733690432251696002_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fskg1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=XRvAD4JBh8IQ7kNvgGWUivO&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AYCD_SLt3UT3PaDZS0HyRcVtjWi5O9qzanSz8TENYNMVuQ&oe=66D5F903&_nc_sid=17ea04";"false";"mio_5443"
"true";"";"1384063713";"false";"https://instagram.fskg1-1.fna.fbcdn.net/v/t51.2885-19/355883737_1465895477517262_8310773742772974812_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fskg1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=ETAheRiCZ8YQ7kNvgG-jH1G&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AYAicdpuA-3KluQIFxjlrd1NMiwHVPMVw0ZcLWClVJNhvA&oe=66D5FE5B&_nc_sid=17ea04";"false";"jessica.qroo"
"true";"秋山広";"65088502224";"false";"https://instagram.fskg1-1.fna.fbcdn.net/v/t51.2885-19/440347232_1186322639205260_2324918983714852833_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fskg1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=JtH0mYBHaU8Q7kNvgHJRet1&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AYDdTa6x2QyXV9q767elpw-Z1IsGgt2JiNDSr8gpoRLGDg&oe=66D5E243&_nc_sid=17ea04";"false";"aki_yama6216"
"false";"Richi Bal";"65211523165";"false";"https://instagram.fskg1-1.fna.fbcdn.net/v/t51.2885-19/448180097_1007816354030447_4432150547255285184_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fskg1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=gV0K162YRmwQ7kNvgFWBuc2&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AYAWwATofeQU1ZREDBNAPyYbhKlVE8BKmPhb3A5mIP76dw&oe=66D5E8EB&_nc_sid=17ea04";"false";"richitapro"
